name,solver,nx,dt,D,p,q,elapsed,elapsed_min,elapsed_max,n_runs,failed
explicit_nx50_dt0.0001_D0.01_p0.01_q1.0,explicit,50,0.0001,0.01,0.01,1.0,0.006563458009622991,0.0060421249945648015,0.008245125005487353,3,False
explicit_nx50_dt0.0001_D0.1_p0.001_q5.0,explicit,50,0.0001,0.1,0.001,5.0,0.002603500004624948,0.002591500000562519,0.002704124999581836,3,False
explicit_nx50_dt0.0001_D1.0_p0.1_q10.0,explicit,50,0.0001,1.0,0.1,10.0,0.0026062910037580878,0.0025782500015338883,0.0026329999964218587,3,False
explicit_nx50_dt5e-05_D0.01_p0.01_q1.0,explicit,50,5e-05,0.01,0.01,1.0,0.005239624995738268,0.005154832993866876,0.0052416669932426885,3,False
explicit_nx50_dt5e-05_D0.1_p0.001_q5.0,explicit,50,5e-05,0.1,0.001,5.0,0.005199417006224394,0.005191291988012381,0.00529600000299979,3,False
explicit_nx50_dt5e-05_D1.0_p0.1_q10.0,explicit,50,5e-05,1.0,0.1,10.0,0.005320791999110952,0.00525599998945836,0.005378125002607703,3,False
explicit_nx100_dt0.0001_D0.01_p0.01_q1.0,explicit,100,0.0001,0.01,0.01,1.0,0.003009333013324067,0.0028110829880461097,0.003030374995432794,3,False
explicit_nx100_dt0.0001_D0.1_p0.001_q5.0,explicit,100,0.0001,0.1,0.001,5.0,0.002697375006391667,0.0026832919975277036,0.002810541001963429,3,False
explicit_nx100_dt0.0001_D1.0_p0.1_q10.0,explicit,100,0.0001,1.0,0.1,10.0,,,,0,True
explicit_nx100_dt5e-05_D0.01_p0.01_q1.0,explicit,100,5e-05,0.01,0.01,1.0,0.005862583013367839,0.0053486670076381415,0.0062497499893652275,3,False
explicit_nx100_dt5e-05_D0.1_p0.001_q5.0,explicit,100,5e-05,0.1,0.001,5.0,0.005584999991697259,0.005566958003328182,0.006165667000459507,3,False
explicit_nx100_dt5e-05_D1.0_p0.1_q10.0,explicit,100,5e-05,1.0,0.1,10.0,0.005826041000545956,0.005702458001906052,0.0060396670014597476,3,False
explicit_nx200_dt0.0001_D0.01_p0.01_q1.0,explicit,200,0.0001,0.01,0.01,1.0,0.003158542007440701,0.003125333008938469,0.00319145800312981,3,False
explicit_nx200_dt0.0001_D0.1_p0.001_q5.0,explicit,200,0.0001,0.1,0.001,5.0,0.003073999992921017,0.00304995798796881,0.003265416991780512,3,False
explicit_nx200_dt0.0001_D1.0_p0.1_q10.0,explicit,200,0.0001,1.0,0.1,10.0,,,,0,True
explicit_nx200_dt5e-05_D0.01_p0.01_q1.0,explicit,200,5e-05,0.01,0.01,1.0,0.0063715830037835985,0.006358290993375704,0.006618667001021095,3,False
explicit_nx200_dt5e-05_D0.1_p0.001_q5.0,explicit,200,5e-05,0.1,0.001,5.0,0.005974250001600012,0.005888375002541579,0.005995583996991627,3,False
explicit_nx200_dt5e-05_D1.0_p0.1_q10.0,explicit,200,5e-05,1.0,0.1,10.0,,,,0,True
semi-implicit_nx50_dt0.0001_D0.01_p0.01_q1.0,semi-implicit,50,0.0001,0.01,0.01,1.0,0.0033389580057701096,0.0032444999960716814,0.0033526670013088733,3,False
semi-implicit_nx50_dt0.0001_D0.1_p0.001_q5.0,semi-implicit,50,0.0001,0.1,0.001,5.0,0.0034942499914905056,0.0031279170070774853,0.0037251659960020334,3,False
semi-implicit_nx50_dt0.0001_D1.0_p0.1_q10.0,semi-implicit,50,0.0001,1.0,0.1,10.0,0.0031738340039737523,0.003126125011476688,0.0034477500012144446,3,False
semi-implicit_nx50_dt5e-05_D0.01_p0.01_q1.0,semi-implicit,50,5e-05,0.01,0.01,1.0,0.006517249988974072,0.0064824590081116185,0.0069772499991813675,3,False
semi-implicit_nx50_dt5e-05_D0.1_p0.001_q5.0,semi-implicit,50,5e-05,0.1,0.001,5.0,0.006343041997752152,0.006078957987483591,0.006424874998629093,3,False
semi-implicit_nx50_dt5e-05_D1.0_p0.1_q10.0,semi-implicit,50,5e-05,1.0,0.1,10.0,0.00615641700278502,0.006038624997017905,0.006251124999835156,3,False
semi-implicit_nx100_dt0.0001_D0.01_p0.01_q1.0,semi-implicit,100,0.0001,0.01,0.01,1.0,0.0035140840045642108,0.0034978329931618646,0.0036507500044535846,3,False
semi-implicit_nx100_dt0.0001_D0.1_p0.001_q5.0,semi-implicit,100,0.0001,0.1,0.001,5.0,0.003647207995527424,0.0036305829999037087,0.003969917001086287,3,False
semi-implicit_nx100_dt0.0001_D1.0_p0.1_q10.0,semi-implicit,100,0.0001,1.0,0.1,10.0,0.0035725420020753518,0.003421707995585166,0.0038558329979423434,3,False
semi-implicit_nx100_dt5e-05_D0.01_p0.01_q1.0,semi-implicit,100,5e-05,0.01,0.01,1.0,0.007038333002128638,0.006934083008673042,0.0070400830009020865,3,False
semi-implicit_nx100_dt5e-05_D0.1_p0.001_q5.0,semi-implicit,100,5e-05,0.1,0.001,5.0,0.007044291996862739,0.006933041993761435,0.007064666991936974,3,False
semi-implicit_nx100_dt5e-05_D1.0_p0.1_q10.0,semi-implicit,100,5e-05,1.0,0.1,10.0,0.006840916001237929,0.006759166004485451,0.006931666997843422,3,False
semi-implicit_nx200_dt0.0001_D0.01_p0.01_q1.0,semi-implicit,200,0.0001,0.01,0.01,1.0,0.004264667004463263,0.00421670799551066,0.0044100829982198775,3,False
semi-implicit_nx200_dt0.0001_D0.1_p0.001_q5.0,semi-implicit,200,0.0001,0.1,0.001,5.0,0.0043156669999007136,0.004227209006785415,0.004401750004035421,3,False
semi-implicit_nx200_dt0.0001_D1.0_p0.1_q10.0,semi-implicit,200,0.0001,1.0,0.1,10.0,0.0042870409961324185,0.004258000000845641,0.00437095899542328,3,False
semi-implicit_nx200_dt5e-05_D0.01_p0.01_q1.0,semi-implicit,200,5e-05,0.01,0.01,1.0,0.008280458001536317,0.008258166999439709,0.008631457996671088,3,False
semi-implicit_nx200_dt5e-05_D0.1_p0.001_q5.0,semi-implicit,200,5e-05,0.1,0.001,5.0,0.008324958995217457,0.008264459000201896,0.008404374995734543,3,False
semi-implicit_nx200_dt5e-05_D1.0_p0.1_q10.0,semi-implicit,200,5e-05,1.0,0.1,10.0,0.008479083000565879,0.008326833005412482,0.00856333298725076,3,False
crank-nicolson_nx50_dt0.0001_D0.01_p0.01_q1.0,crank-nicolson,50,0.0001,0.01,0.01,1.0,0.004375624994281679,0.004338625003583729,0.004582875000778586,3,False
